"","Code","MumCode","Sex","BirthYear","Birthdate","DeathYear","DeathMonth","DeathDay","DeathType","CapAgeHrs","CapWt","BirthWt","FaecalRef","SampleDate","Sample YearSample Month","Sample month","SampleMass","PelletCount","Strongyles","Flukes","Elaphostrongylus","deeryear","sampleage","deathdeeryear","deathage","survived","MassPerPellet","survivedfirstwinter"
"1","ABA17","HIA09","Female","2017",2017-05-29,2018,1,19,"N",48,5.4,4.68000009536743,2792,2017-08-27,2017,"8",0.6,3,21,0,0,"2017",0,2017,0,0,0.2,0
"2","ABA19","HIA09","Male","2019",2019-05-24,NA,NA,NA,NA,8,5.5,5.38,485,2019-08-24,2019,"8",4.24,10,0,0,0,"2019",0,NA,NA,1,0.424,1
"3","ALL19","PUF06","Female","2019",2019-05-23,NA,NA,NA,NA,24,6.8,6.44000019073486,535,2019-08-29,2019,"8",5.64,10,21,0,0,"2019",0,NA,NA,1,0.564,1
"4","ALO18","CRX14","Male","2018",2018-06-11,NA,NA,NA,NA,7,6.3,6.19500019073486,3490,2018-08-23,2018,"8",5.9,19,28,0.67,17.2,"2018",0,NA,NA,1,0.310526315789474,1
"5","AMC18","USS12","Female","2018",2018-06-04,2019,4,2,"N",24,6.2,5.83999980926514,3565,2018-08-25,2018,"8",4,13,33,0,0,"2018",0,2018,0,0,0.307692307692308,0
"6","AME16","OPA08","Male","2016",2016-06-25,2017,3,30,"N",8,6.5,6.38,1960,2016-08-26,2016,"8",3.3,16,104,0,0,"2016",0,2016,0,0,0.20625,0
"7","AME18","OPA08","Male","2018",2018-06-03,NA,NA,NA,NA,24,6.1,5.73999990463257,3439,2018-08-22,2018,"8",11.8,7,8,0,0.45,"2018",0,NA,NA,1,1.68571428571429,1
"8","AML16","DAW12","Female","2016",2016-06-06,2018,2,15,"N",15,6.1,5.87499990463257,2076,2016-08-31,2016,"8",1.3,2,4,0,0,"2016",0,2017,1,0,0.65,1
"9","ARE16","PCN10","Male","2016",2016-05-09,NA,NA,NA,NA,120,6.9,5.10000009536743,2026,2016-08-29,2016,"8",7.7,15,100.5,0,7.07,"2016",0,NA,NA,1,0.513333333333333,1
"10","ARE17","PCN10","Female","2017",2017-05-29,2018,3,19,"N",3,5.8,5.75500019073486,2797,2017-08-27,2017,"8",7.4,16,46,0,0,"2017",0,2017,0,0,0.4625,0
"11","ASB16","HOO05","Male","2016",2016-05-31,NA,NA,NA,NA,18,6.4,6.13000009536743,2022,2016-08-29,2016,"8",1.8,3,33,0.5,6.91,"2016",0,NA,NA,1,0.6,1
"12","BAL17","LUT12","Female","2017",2017-06-11,NA,NA,NA,NA,24,6.9,6.54000009536743,2825,2017-08-28,2017,"8",6.8,24,11,0,0,"2017",0,NA,NA,1,0.283333333333333,1
"13","BAU16","MCD12","Male","2016",2016-06-08,2018,2,27,"N",24,6.6,6.23999990463257,1953,2016-08-26,2016,"8",6.4,14,7,0,0,"2016",0,2017,1,0,0.457142857142857,1
"14","BAU17","MCD12","Male","2017",2017-06-17,2018,4,3,"N",10,6.5,6.35,2767,2017-08-26,2017,"8",1.8,9,10,0,0,"2017",0,2017,0,0,0.2,0
"15","BCA19","CBS09","Male","2019",2019-05-30,NA,NA,NA,NA,4,7,6.94,513,2019-08-27,2019,"8",5.89,10,90,0,0,"2019",0,NA,NA,1,0.589,1
"16","BED17","GYP07","Female","2017",2017-05-27,NA,NA,NA,NA,24,8.4,8.03999961853027,2915,2017-08-30,2017,"8",6.2,17,57,0,0,"2017",0,NA,NA,1,0.364705882352941,1
"17","BIJ16","OPA07","Female","2016",2016-05-31,2017,4,11,"N",96,8.7,7.25999980926514,1836,2016-08-23,2016,"8",2.8,1,162.5,0,0,"2016",0,2016,0,0,2.8,0
"18","BLI19","CBS15","Female","2019",2019-06-05,2020,3,11,"N",24,6.3,5.94000019073486,408,2019-08-20,2019,"8",2.74,10,0,0,0,"2019",0,2019,0,0,0.274,0
"19","BMA17","CHN06","Male","2017",2017-05-31,NA,NA,NA,NA,24,NA,NA,2863,2017-08-29,2017,"8",20.6,11,2,0,0,"2017",0,NA,NA,1,1.87272727272727,1
"20","BMY17","GNB12","Male","2017",2017-05-27,2019,3,2,"N",6,8,7.91,2819,2017-08-28,2017,"8",5.8,18,8,2,0,"2017",0,2018,1,0,0.322222222222222,1
"21","BMY19","GNB12","Male","2019",2019-06-15,NA,NA,NA,NA,7,7.7,7.59499980926514,456,2019-08-23,2019,"8",3.66,10,0,0,0,"2019",0,NA,NA,1,0.366,1
"22","BOO16","YOG06","Female","2016",2016-06-01,2017,2,18,"N",6,5.9,5.81000009536743,1882,2016-08-24,2016,"8",4.4,20,10,0,0,"2016",0,2016,0,0,0.22,0
"23","BOO17","YOG06","Male","2017",2017-06-04,2018,3,16,"N",12,6.5,6.32,2670,2017-08-24,2017,"8",4.6,8,13,0,0,"2017",0,2017,0,0,0.575,0
"24","BOO19","YOG06","Female","2019",2019-06-20,NA,NA,NA,NA,18,7.2,6.92999980926514,466,2019-08-24,2019,"8",1.11,10,0,0,0,"2019",0,NA,NA,1,0.111,1
"25","BSG18","VES10","Male","2018",2018-06-05,NA,NA,NA,NA,5,7,6.925,3573,2018-08-27,2018,"8",6.3,15,7,1.33,39.98,"2018",0,NA,NA,1,0.42,1
"26","CBH18","CCK07","Male","2018",2018-05-22,NA,NA,NA,NA,24,8.8,8.44000019073486,3603,2018-08-29,2018,"8",6.6,14,5,24.67,9.5,"2018",0,NA,NA,1,0.471428571428571,1
"27","CBS17","ZUC03","Female","2017",2017-06-28,2017,12,26,"N",6,3.2,3.11000004768372,2927,2017-08-31,2017,"8",1,3,2,37.33,0,"2017",0,2017,0,0,0.333333333333333,0
"28","CCH16","PAN06","Male","2016",2016-05-31,NA,NA,NA,NA,2,7.9,7.87000009536743,2074,2016-08-30,2016,"8",1.5,4,19,0,0,"2016",0,NA,NA,1,0.375,1
"29","CCH17","PAN06","Female","2017",2017-06-10,2018,2,14,"N",4,6.3,6.24000019073486,2845,2017-08-29,2017,"8",3.7,17,0,0,0,"2017",0,2017,0,0,0.217647058823529,0
"30","CES19","DAK12","Female","2019",2019-05-22,NA,NA,NA,NA,10,6.7,6.54999980926514,516,2019-08-27,2019,"8",4.57,10,0,0,0,"2019",0,NA,NA,1,0.457,1
"31","CET17","RUF02","Female","2017",2017-06-04,2018,3,3,"N",48,5.9,5.18000009536743,2731,2017-08-25,2017,"8",1.8,5,79,0,0,"2017",0,2017,0,0,0.36,0
"32","CET19","RUF02","Female","2019",2019-06-27,NA,NA,NA,NA,48,5.6,4.87999990463257,462,2019-08-24,2019,"8",3.56,10,1,0,0,"2019",0,NA,NA,1,0.356,1
"33","CHK16","SOX04","Male","2016",2016-05-29,NA,NA,NA,NA,12,6.1,5.91999990463257,1811,2016-08-22,2016,"8",5,10,11,0,3.88,"2016",0,NA,NA,1,0.5,1
"34","CHM16","HOC05","Male","2016",2016-06-02,NA,NA,NA,NA,8,8.1,7.98000038146973,1838,2016-08-23,2016,"8",7.4,24,3.5,0,2.85,"2016",0,NA,NA,1,0.308333333333333,1
"35","CHM17","HOC05","Female","2017",2017-06-06,NA,NA,NA,NA,24,7.2,6.83999980926514,2780,2017-08-27,2017,"8",4,13,26,0,0,"2017",0,NA,NA,1,0.307692307692308,1
"36","CHY16","CHK07","Female","2016",2016-05-21,NA,NA,NA,NA,48,7.4,6.68000009536743,1957,2016-08-26,2016,"8",10.5,19,43,0,0.82,"2016",0,NA,NA,1,0.552631578947368,1
"37","CLR16","ZUC01","Male","2016",2016-06-07,2017,1,18,"N",144,7.8,5.64000019073486,1932,2016-08-25,2016,"8",1.3,2,112,0,0,"2016",0,2016,0,0,0.65,0
"38","CLS18","GLR13","Male","2018",2018-06-20,NA,NA,NA,NA,12,7.8,7.62000019073486,3602,2018-08-29,2018,"8",6.6,19,1,0,16.12,"2018",0,NA,NA,1,0.347368421052632,1
"39","COM19","APA10","Female","2019",2019-06-08,NA,NA,NA,NA,6,7,6.91,530,2019-08-28,2019,"8",5.01,10,0,0,0,"2019",0,NA,NA,1,0.501,1
"40","CYP19","CPY14","Male","2019",2019-05-30,NA,NA,NA,NA,24,7.7,7.33999980926514,472,2019-08-24,2019,"8",4.83,10,27,0,0,"2019",0,NA,NA,1,0.483,1
